spCN,sp,tag,gx,gy,dbh,height
Ï¸Ö¦èÚ,EURLOQ,T02050002,22,81,3.3,3.8
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T19110163,368,204.1,2.5,3.95
Ã«»¨Á¬Èï²è,CAMFRA,T09140011,176,275.5,6,3.47
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T13030053,253.9,56.1,7.8,6.1
ÏÙÒ¶¹ðÓ£,LAUPHA,T17180057,321.2,359,3.1,3.75
Ï¸Ö¦èÚ,EURLOQ,T24130117,473,243.5,2.5,3.55
Ï¸Ö¦èÚ,EURLOQ,T04110200,71.7,216,2.5,2.9
¸Û¿Â,LITHAR,T10200233,194.9,382,28.3,27.8
»Æµ¤Ä¾½ª×Ó,LITELO,T18070218,352,120,2.6,3.9
Ï¸Ö¦èÚ,EURLOQ,T20010014,397,17.5,1.8,3.25
»Æµ¤Ä¾½ª×Ó,LITELO,T13060017,256.8,104,6.8,5.6
ÔÆÉ½Çà¸Ô,CYCSES,T23140240,441,268,23.7,9.5
ÔÆÉ½Çà¸Ô,CYCSES,T16190147,309.5,372.5,12.8,9.5
ÂíÒø»¨,RHOOVA,T07110111,131.5,202,5.4,5.2
Ï¸Ö¦èÚ,EURLOQ,T03030026,42.2,47.3,2.1,3.51
¶Ì¹£¶¬Çà,ILEBUE,T01200360,13.5,384.5,3.3,3.63
Ï¸Ö¦èÚ,EURLOQ,T17150016,331.4,284,6.6,4.45
ÄÏËáÔæ,CHOAXI,T20080034,388.5,150.1,35.9,12.1
Ã«»¨Á¬Èï²è,CAMFRA,T19170015,361,335.3,5.7,3.35
ÆÓÊ÷,CELSIN,T17020059,326.5,40,2,3.45
³àéª,SYZBUX,T07160014,124.5,302.7,8.8,4.1
»Æµ¤Ä¾½ª×Ó,LITELO,T14040201,270.9,71.2,3.3,3.24
»ÆÅ£ÄÌÊ÷,SYMCOC,T14090038,262.5,179,9.2,6.3
Ã«»¨Á¬Èï²è,CAMFRA,T02150077,32.8,280.2,2.3,3
Ä¾ºÉ,SCHSUP,T22010272,436.5,4.9,35.8,20.3
»Æµ¤Ä¾½ª×Ó,LITELO,T16090062,306,175.3,1.4,1.75
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T03110293,51.2,217.5,3.6,3.6
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T09030173,178.2,58.9,10,11.3
»Æµ¤Ä¾½ª×Ó,LITELO,T04020048,67,25,2.4,3.13
ÂíÒø»¨,RHOOVA,T07200294,126,394.5,8,3.57
Ï¸Ö¦èÚ,EURLOQ,T11050113,213,96.1,5.4,5
ÎÞ»¼×Ó,SAPSAP,T25200051,494.8,391.3,9.9,7.7
Ï¸Ö¦èÚ,EURLOQ,T09060068,166,112.6,2.2,3.37
Ã«»¨Á¬Èï²è,CAMFRA,T12050144,226.5,86.8,4.8,5.3
 Ï¸Ö¦èÚ,EURLOQ,T12030033,225,50.4,1.9,2.29
²ÚÒ¶Ê÷,APHASP,T02080169,35.5,156,2,2.22
ºìéª,MACTHU,T11020115,210.6,22.6,15.4,15.9
·ãÏãÊ÷,LIQFOR,T03070270,49.8,126.1,18.3,8
Ï¸Ö¦èÚ,EURLOQ,T14050311,262.9,86.6,2,2.82
Ï¸Ö¦èÚ,EURLOQ,T09110204,177,206,3.5,3.16
»Æµ¤Ä¾½ª×Ó,LITELO,T16040066,306.3,70,2.9,3.91
É½·¯,SYMSUM,T13130241,248.2,247.7,3,3.05
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01120231,17.3,227.1,4.3,3.73
³àéª,SYZBUX,T02190161,27.5,368.5,3.6,3.74
Ï¸Ö¦èÚ,EURLOQ,T22130000,437.5,244.5,5,4.1
»Æµ¤Ä¾½ª×Ó,LITELO,T11050003,205,80.1,2.3,3.9
Ï¸Ö¦èÚ,EURLOQ,T08130111,150,242.7,2.2,2.63
¹âÒ¶Ê¯éª,PHOGLA,T08100238,159.8,192.8,4.1,3.91
ºìéª,MACTHU,T0916B03054,177.3,311.3,3.8,4.1
Ï¸Ö¦èÚ,EURLOQ,T15160019,285,309,1.9,2.73
Ï¸Ö¦èÚ,EURLOQ,T03030321,52.8,48.3,1.3,2.45
Ï¸Ö¦èÚ,EURLOQ,T03040397,60,69.8,3.8,4.69
ÂíÒø»¨,RHOOVA,T07070220,136.4,128.5,1.4,2.28
Ä¾Ï¬,OSMFRA,T16050120,310.8,82.7,1.7,3.12
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01050302,13,86.8,17.9,11.3
Ï¸Ö¦èÚ,EURLOQ,T07030272,132,47,3.2,3.02
°×±³Ò¶,MALAPE,T01150358,3.5,296.5,2.8,3.58
Ï¸Ö¦èÚ,EURLOQ,T09030014,163.3,47,2.9,2.99
ºìéª,MACTHU,T17150049,336.2,281.4,3.5,4.25
Ã«»¨Á¬Èï²è,CAMFRA,T10070201,192.9,138.8,2.8,2.88
Ï¸Ö¦èÚ,EURLOQ,T24060155,467.5,110.6,2.5,3.2
Ï¸Ö¦èÚ,EURLOQ,T20090010,382.4,176,5.8,3.73
»Æµ¤Ä¾½ª×Ó,LITELO,T02040139,32.3,75.3,2,3.23
Ï¸Ö¦èÚ,EURLOQ,T25060195,491,112.7,2.5,2.78
Ï¸Ö¦èÚ,EURLOQ,T01050308,14.2,90,4,1.7
Ï¸Ö¦èÚ,EURLOQ,T25070131,487.2,130.4,3.9,3.6
¸Û¿Â,LITHAR,T13040251,240.5,65.7,7,4.95
Ï¸Ö¦èÚ,EURLOQ,T04040011,62.5,66.3,3.3,4.08
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07110101,126.8,200.6,3.2,3.85
Ä¾ºÉ,SCHSUP,T07180291,127.8,344,10,3.45
Ã«»¨Á¬Èï²è,CAMFRA,T24120050,466.9,233.1,1.8,2.35
¸Û¿Â,LITHAR,T25120258,492.3,230.1,21.7,16.7
Ä¾ºÉ,SCHSUP,T22010047,423.2,12.3,11.3,8.7
É½·¯,SYMSUM,T13140044,257.1,268,4.3,2.65
Ò°ÆáÊ÷,TOXSUC,T07170361,136.5,327.3,3.1,3.89
Ï¸Ö¦èÚ,EURLOQ,T13050043,240.4,89.5,2.3,2.36
ºìµ­±È,CLEJAP,T20090239,389,172.5,2.2,3
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T14170258,279,327.2,1.9,3.22
Ïã¹ð,CINSUB,T23100212,453,189.9,17.4,8.7
Ï¸Ö¦èÚ,EURLOQ,T19070087,375,121.9,2.6,3.5
Ï¸Ö¦èÚ,EURLOQ,T17170057,321.6,328,4.2,3.52
Ï¸Ö¦èÚ,EURLOQ,T02090114,33.7,169.8,2.6,3.04
Ã«»¨Á¬Èï²è,CAMFRA,T07080215,126.5,153,1.9,3.87
ºìµ­±È,CLEJAP,T04120057,63.8,225.3,17.2,11.3
Ï¸Ö¦èÚ,EURLOQ,T25040056,482.4,77.4,2.5,3.15
¹âÁÁÉ½·¯,SYMLUC,T0720B1900,129.3,398.2,8.1,4.75
Ã«»¨Á¬Èï²è,CAMFRA,T19050197,374.1,99.5,3.5,4.55
Ï¸Ö¦èÚ,EURLOQ,T19030272,363.3,47,1.3,1.95
Ï¸Ö¦èÚ,EURLOQ,T01060198,6.1,113.5,2.9,4.12
Ã«»¨Á¬Èï²è,CAMFRA,T24100083,476.3,197,2.4,3.75
Ã«»¨Á¬Èï²è,CAMFRA,T14080065,276.3,146.4,2.6,3.69
Ï¸Ö¦èÚ,EURLOQ,T20010128,392.5,13.7,1.8,2.78
É½·¯,SYMSUM,T12050045,222.2,97,3.8,3.75
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T11020341,217.7,26,1.9,2.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07010153,127.7,6.4,2.1,2.46
ÔÆÉ½Çà¸Ô,CYCSES,T05190140,87.5,372.7,9.6,4.45
Ã«»¨Á¬Èï²è,CAMFRA,T12060110,229.8,113.6,3,4.5
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T04100198,64,189,10.2,8.2
ÂíÒø»¨,RHOOVA,T22020341,435.4,32,1.6,2.32
Ã«»¨Á¬Èï²è,CAMFRA,T09140328,164.8,278.5,2.6,3.2
»Æµ¤Ä¾½ª×Ó,LITELO,T25010230,482.6,4.5,5.7,5.4
èàÊ÷,CASFAR,T07060180,133.9,109.3,30.9,21.9
Ï¸Ö¦èÚ,EURLOQ,T19010096,371.7,8.8,3.1,3.65
Ï¸Ö¦èÚ,EURLOQ,T03130092,45,259.7,3,3.75
»Æµ¤Ä¾½ª×Ó,LITELO,T10070176,199.5,132.9,4.1,4.78
»Æµ¤Ä¾½ª×Ó,LITELO,T21100279,414.5,180.8,1.8,2.55
»Æµ¤Ä¾½ª×Ó,LITELO,T15030252,299,44,10.5,19.2
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07100030,120.2,186.5,3,4.09
³àÑîÒ¶,ALNFOR,T05160144,91.2,317.8,6.6,6.5
Ï¸Ö¦èÚ,EURLOQ,T20080327,389.6,154.5,1.8,2.1
Ï¸Ö¦èÚ,EURLOQ,T18140001,341,279.5,2.3,2.9
»Æµ¤Ä¾½ª×Ó,LITELO,T02080336,33.2,142.6,2.6,3.1
ÂíÒø»¨,RHOOVA,T08020208,158.5,23.4,3.6,3.91
èàÊ÷,CASFAR,T1213B1510,221.8,247.2,5.4,3.6
Ï¸Ö¦èÚ,EURLOQ,T15110083,288.9,213.5,4.7,4.21
Õ­»ùºìºÖèÚ,EURRUB,T08150192,158.2,289,1.7,1.8
ºì¶¾Üî,ILLLAN,T04010051,68,19.8,3.5,3.83
Ï¸Ö¦èÚ,EURLOQ,T15170298,297,321,6.9,3.05
Õ­»ùºìºÖèÚ,EURRUB,T22020115,430.4,22.7,2.1,3.4
Ï¸Ö¦èÚ,EURLOQ,T09020173,170,38.6,1.6,2.81
Ï¸Ö¦èÚ,EURLOQ,T11060031,202.5,112.6,2.5,2.75
¸ñÒ©èÚ,EURMUR,T18050115,346.5,94,4.6,6.5
Õ­»ùºìºÖèÚ,EURRUB,T06180085,107.5,355.3,2.1,2.75
Ï¸Ö¦èÚ,EURLOQ,T20080329,382.3,155.5,3,3.08
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T09180100,163.7,348.5,9.4,4.7
ºìéª,MACTHU,T05080079,89,144.1,2.6,3.77
»Æµ¤Ä¾½ª×Ó,LITELO,T11170147,210,338.5,4,4
ÓÍÊÁ,DIOOLE,T22160176,420.1,303.8,27.6,12.3
ºì¶¾Üî,ILLLAN,T04050257,65.3,100,4.6,4.17
Ã«»¨Á¬Èï²è,CAMFRA,T16180127,317,347.6,2.6,3.12
¹âÁÁÉ½·¯,SYMLUC,T05200167,89,383,2.2,2.8
Ã«»¨Á¬Èï²è,CAMFRA,T11140167,211.2,268.2,4.6,5.3
Ä¾ºÉ,SCHSUP,T13200171,252.4,389,16.7,5.2
Ä¾ºÉ,SCHSUP,T08190264,146,370,10.2,4.55
Ã«»¨Á¬Èï²è,CAMFRA,T06090031,104.3,171.6,3.6,3.2
»Æµ¤Ä¾½ª×Ó,LITELO,T01090059,6.5,179,19.6,35.8
±¡Ò¶É½·¯,SYMANO,T20030194,381.3,44,3.7,4.5
Ä¾ºÉ,SCHSUP,T12010150,230.3,5,35.9,37.3
Ï¸Ö¦èÚ,EURLOQ,T03130281,52.8,251.9,1.8,2.9
¸ñÒ©èÚ,EURMUR,T25120368,485.1,235,3.2,3.65
¸Û¿Â,LITHAR,T16060037,304.9,118.2,16.9,15
»Æµ¤Ä¾½ª×Ó,LITELO,T15120095,295,226.4,1.6,2.15
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T09040043,161.5,73,15.4,9.9
»Æµ¤Ä¾½ª×Ó,LITELO,T18070283,359.5,138,4.7,4.05
¹âÒ¶É½·¯,SYMLAN,T10080133,195,149.7,10.5,14.1
¹âÁÁÉ½·¯,SYMLUC,T07190181,125,365,7.4,4.85
Ï¸Ö¦èÚ,EURLOQ,T11140048,219,271.7,2.1,2.1
Ã«»¨Á¬Èï²è,CAMFRA,T14110047,278.9,206.8,1.8,3.9
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07030007,120.8,41,1.8,1.84
ºìµ­±È,CLEJAP,T15090046,283,168,1.7,2.67
¸ñÒ©èÚ,EURMUR,T01110069,1.5,217.4,2.7,4.48
¸ñÒ©èÚ,EURMUR,T10010096,191,4.6,5.5,5.1
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T11190054,202.7,376.7,3.9,4.58
Ï¸Ö¦èÚ,EURLOQ,T21020122,409.8,26.5,2,2.8
Ã«»¨Á¬Èï²è,CAMFRA,T02200319,37.7,392.3,2.1,3.16
»Æµ¤Ä¾½ª×Ó,LITELO,T19010092,371.5,6.1,5.6,5.8
Õ­»ùºìºÖèÚ,EURRUB,T01170201,9.4,333.9,2.4,2.14
Ã«»¨Á¬Èï²è,CAMFRA,T20130034,386.3,259.2,2.3,3.23
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T21090000,401,176.8,2,2.8
Ã«ÂöéÊ,ACEPUB,T09180109,163.9,347.5,15,9.4
Ï¸Ö¦èÚ,EURLOQ,T03100062,43,193.1,4.5,3.24
ÄÏËáÔæ,CHOAXI,T24080025,466,159.1,35.7,21.5
Õ­»ùºìºÖèÚ,EURRUB,T01170310,12.5,324.9,2.5,2.3
Ï¸Ö¦èÚ,EURLOQ,T01030201,10.1,48.4,3.3,3.45
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T07200385,139.9,394,3.5,5.3
Ï¸Ö¦èÚ,EURLOQ,T23020100,448.1,36,2.5,3.85
Ã«»¨Á¬Èï²è,CAMFRA,T02080337,31.1,140.1,2.9,4.66
ÏÙÒ¶¹ðÓ£,LAUPHA,T05200268,87.5,399.8,7.4,4.2
Ï¸Ö¦èÚ,EURLOQ,T14050119,270.2,92,2.1,3.07
³àéª,SYZBUX,T0718R28392,125.5,340.5,3,2.35
¹âÒ¶Ê¯éª,PHOGLA,T13150248,256.9,292,7.1,3.8
Ï¸Ö¦èÚ,EURLOQ,T10140326,184,266.3,2.8,3.25
Ï¸Ö¦èÚ,EURLOQ,T09050198,168.4,98.2,1.7,2.55
ÀÏÊóÊ¸,SYMSTE,T01180130,4.4,345.4,1.8,2.17
ÒË²ý¼ÔÉo,VIBERO,T23080126,445,144.5,3.5,4.2
»Æµ¤Ä¾½ª×Ó,LITELO,T20110120,389,209,22.4,18.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01120237,20,220.7,3,3.41
Ï¸Ö¦èÚ,EURLOQ,T13090160,252.3,171.2,4.2,4.46
Ä¾Ï¬,OSMFRA,T13140195,247.2,269.8,2.6,2.5
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T03190177,50,373,9.4,7
¹âÁÁÉ½·¯,SYMLUC,T18140088,347.7,270.5,14.1,12.1
ÈüÉ½Ã·,STYCON,T02170249,39.9,327,6.6,6
ºìµ­±È,CLEJAP,T15120124,298.8,238.8,13,12.9
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01170185,9.2,337,9.4,6
Ï¸Ö¦èÚ,EURLOQ,T21080385,418.7,153.7,1.8,2.91
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T04110142,72,202,8.7,11.5
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01090001,0.2,160.4,2.9,3
Ï¸Ö¦èÚ,EURLOQ,T17080060,327,146.2,4.1,4.15
Ã«»¨Á¬Èï²è,CAMFRA,T23140030,458.5,267.5,1.8,2.45
»Æµ¤Ä¾½ª×Ó,LITELO,T05020155,86.3,23.3,4,6
ºìµ­±È,CLEJAP,T20150028,394.5,297,2.5,3.15
ºì¶¾Üî,ILLLAN,T03040302,51.3,75.5,1.6,1.8
Ã«»¨Á¬Èï²è,CAMFRA,T18040361,340.6,64.9,3.8,4.28
É½·¯,SYMSUM,T09040249,177.3,71.8,1.7,1.77
Ï¸Ö¦èÚ,EURLOQ,T12130071,238.5,252.3,1.6,2.15
¹âÁÁÉ½·¯,SYMLUC,T06090336,115.2,160.9,7.4,16.1
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07100096,125,188.2,1.8,1.7
À×¹«¶ì¶úèÀ,CARVIM,T06200225,115.6,398.3,4.6,5.5
¶Ì¹£¶¬Çà,ILEBUE,T19190018,361,363.2,8.1,5.5
Ï¸Ö¦èÚ,EURLOQ,T24030016,468,42.8,2.5,2.95
±¡Ò¶É½·¯,SYMANO,T03140008,42.5,262,4.3,3.25
Ï¸Ö¦èÚ,EURLOQ,T13040235,244.2,68.5,3.2,3.51
Ï¸Ö¦èÚ,EURLOQ,T21070285,418.9,125,4.9,2.95
±¡Ò¶É½·¯,SYMANO,T08120220,154.7,232.6,2.5,3.44
Ã«»¨Á¬Èï²è,CAMFRA,T10200050,183.8,398.5,1.7,2.27
Ï¸Ö¦èÚ,EURLOQ,T17090062,329.9,170.8,3.9,3.13
Ï¸Ö¦èÚ,EURLOQ,T18120234,345,220.1,3.4,4.2
Ï¸Ö¦èÚ,EURLOQ,T12040035,220.5,79.9,8.4,5.3
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01150317,15.5,298,11.3,15
Ï¸Ö¦èÚ,EURLOQ,T01050301,12.9,86.4,1.7,2.35
Ï¸Ö¦èÚ,EURLOQ,T15060005,283.6,102.3,4.5,5
¸Û¿Â,LITHAR,T04120169,60.2,239.6,26.8,11.1
Ï¸Ö¦èÚ,EURLOQ,T12190194,230.2,373.2,1.2,2.08
Ï¸Ö¦èÚ,EURLOQ,T13070077,254.5,121,4.8,4.57
»Æµ¤Ä¾½ª×Ó,LITELO,T13030109,252.6,44.4,1.9,2.35
ºìµ­±È,CLEJAP,T03070306,54.4,122.6,3.5,3.33
Ã«»¨Á¬Èï²è,CAMFRA,T19160121,375,318.3,9.5,11.4
Ï¸Ö¦èÚ,EURLOQ,T12040007,220.3,64.8,9.4,5.3
Ï¸Ö¦èÚ,EURLOQ,T12140003,223.7,262.7,2.5,3.45
Ï¸Ö¦èÚ,EURLOQ,T12120054,235.5,233.6,3.1,3.9
¹âÁÁÉ½·¯,SYMLUC,T10160342,195.8,315.4,8.8,18
èàÊ÷,CASFAR,T17010138,338,13.5,5.4,4.96
Ã«»¨Á¬Èï²è,CAMFRA,T22180158,429,342.9,4.4,4
±¡Ò¶É½·¯,SYMANO,T05070332,94.4,131.2,6.6,4.7
Ï¸Ö¦èÚ,EURLOQ,T21050022,407.5,96.3,2.3,2.15
¶Ì¹£¶¬Çà,ILEBUE,T22020141,429.1,28.9,2.7,3.65
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T0216B00936,28,313,2.4,3.48
Ï¸Ö¦èÚ,EURLOQ,T13150082,250.2,299.8,2.8,3.13
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T10030079,186.5,53,18.8,14.4
Ã«»¨Á¬Èï²è,CAMFRA,T04090238,70.4,179,4,3.9
»Æµ¤Ä¾½ª×Ó,LITELO,T16050103,307.5,85.3,3.6,3.61
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T01040163,13.5,72,8,15.2
±¡Ò¶É½·¯,SYMANO,T05200272,85,397.3,1.4,2.57
¸Û¿Â,LITHAR,T15010057,286.1,7.2,11.7,5.5
³àéª,SYZBUX,T07180438,132.9,344,4.6,3.1
¸Û¿Â,LITHAR,T10130008,182.7,258.6,11.7,5.2
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01140354,14.5,279.2,2.8,3.62
¹âÁÁÉ½·¯,SYMLUC,T02180263,22.5,346.4,7.3,3.55
¸Û¿Â,LITHAR,T08050103,154.4,88,38.5,7.5
Ã«»¨Á¬Èï²è,CAMFRA,T25120083,498,224.5,1.3,1.86
»Æµ¤Ä¾½ª×Ó,LITELO,T25050015,482.6,95.1,6.9,6.5
ºìéª,MACTHU,T04010145,80,3.1,3.2,3.5
ÔÆÉ½Çà¸Ô,CYCSES,T1212B0141,222.3,236.2,26.6,9.7
Ã«»¨Á¬Èï²è,CAMFRA,T12020257,223.9,27.8,2,3.01
Ï¸Ö¦èÚ,EURLOQ,T22070180,430.5,120.2,1.9,2.55
»Æµ¤Ä¾½ª×Ó,LITELO,T16100152,317.4,193.3,1.4,2.37
Ï¸Ö¦èÚ,EURLOQ,T11040054,217.5,78,3.1,4
¸Û¿Â,LITHAR,T18150055,354,294.9,8.6,7.9
Ï¸Ö¦èÚ,EURLOQ,T24040042,465.1,62.3,2.8,2.6
¸Û¿Â,LITHAR,T07080271,139,155,14.5,11.6
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01160217,16.5,319.7,6.1,7.3
ÀÏÊóÊ¸,SYMSTE,T22040148,432.2,73.8,1.7,2.95
ºìµ­±È,CLEJAP,T23030008,442.5,41.1,2.1,3
º¼ÖÝÓÜ,ULMCHA,T03070305,55.1,123,5.4,10.5
ÄÏËáÔæ,CHOAXI,T22040246,428.5,75,24.8,10.1
Ï¸Ö¦èÚ,EURLOQ,T18020218,352.5,23,3.6,2.9
Ï¸Ö¦èÚ,EURLOQ,T24010247,460.3,6.4,2.5,2.9
Ï¸Ö¦èÚ,EURLOQ,T09060081,167,118.5,3.2,3.3
Ï¸Ö¦èÚ,EURLOQ,T01110263,16.2,204.3,3,3.13
Ï¸Ö¦èÚ,EURLOQ,T25190014,484.7,369.7,4.1,3.4
ÔÆÉ½Çà¸Ô,CYCSES,T01040205,17.5,72.5,8.7,11.8
ÏÙÒ¶¹ðÓ£,LAUPHA,T14020013,262.5,21.5,1.7,2.88
ÏÙÒ¶¹ðÓ£,LAUPHA,T14100132,266.85,194,7.6,5.1
±¡Ò¶Èóéª,MACLEP,T06010126,111,7.4,10.3,5.1
Ï¸Ö¦èÚ,EURLOQ,T12170083,227.7,339.9,4.5,4
Ï¸Ö¦èÚ,EURLOQ,T15090051,281.8,167.2,4,3.82
ºìµ­±È,CLEJAP,T11170303,202.5,329.9,1.7,2.1
±¡Ò¶Èóéª,MACLEP,T17130186,332,260,21.8,39.7
»¢Æ¤éª,DAPOLD,T09120124,173.5,223.8,13.7,6
»Æµ¤Ä¾½ª×Ó,LITELO,T18060068,357.05,103.8,5.4,6.6
»Æµ¤Ä¾½ª×Ó,LITELO,T18030265,357.5,58.8,11.4,6.5
Ï¸Ö¦èÚ,EURLOQ,T03010117,46.5,19,2.4,3.3
»Æµ¤Ä¾½ª×Ó,LITELO,T19140195,362.5,261,9.5,7
Ï¸Ö¦èÚ,EURLOQ,T01060096,6.1,106.2,4.3,4.93
Ï¸Ö¦èÚ,EURLOQ,T24070060,463.1,130.6,4.7,3.4
»Æµ¤Ä¾½ª×Ó,LITELO,T14080069,274.5,146.7,10.9,9.7
Ï¸Ö¦èÚ,EURLOQ,T12100202,238.8,194.5,3.2,3.05
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T05200224,89.4,392.8,5.9,4.6
Ï¸Ö¦èÚ,EURLOQ,T25080054,489.5,156.2,2.1,1.75
ºìéª,MACTHU,T15090088,287,166.5,4.3,5.3
¸ñÒ©èÚ,EURMUR,T0310B00086,59.1,181,5.6,5.3
»Æµ¤Ä¾½ª×Ó,LITELO,T15020050,288.2,31.2,12.6,3.76
»Æµ¤Ä¾½ª×Ó,LITELO,T15090104,286.8,170,7.8,18.9
»Æµ¤Ä¾½ª×Ó,LITELO,T19050102,365.9,84.9,3.4,3.8
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01160270,17.5,317.4,2.3,3.32
»Æµ¤Ä¾½ª×Ó,LITELO,T03100288,50.7,194,12.4,15.1
Ï¸Ö¦èÚ,EURLOQ,T18040195,349.1,68.6,3,3.35
»Æµ¤Ä¾½ª×Ó,LITELO,T24060200,470.3,100.4,15,15.9
ºìµ­±È,CLEJAP,T18020007,343,21.8,3.8,3.25
ºìéª,MACTHU,T22010262,433.8,6.5,2.1,2.8
éßÄ¾,SASTZU,T07090043,124.5,174.8,24.6,26.9
Ï¸Ö¦èÚ,EURLOQ,T04120028,67.5,220.6,4.6,4.35
Ï¸Ö¦èÚ,EURLOQ,T23010248,455.3,13.2,3.8,4.53
Ïã¹ð,CINSUB,T04150138,75.5,298.8,19.2,8.4
Ï¸Ö¦èÚ,EURLOQ,T12150045,237.5,291.6,1.6,2.35
¹âÁÁÉ½·¯,SYMLUC,T17160064,339,305.5,8.1,6.5
Ï¸Ö¦èÚ,EURLOQ,T21060273,416,110,4.3,5
»Æµ¤Ä¾½ª×Ó,LITELO,T03040228,48.8,62.2,1.5,2.75
Ï¸Ö¦èÚ,EURLOQ,T10090198,198.8,170,4.9,4.23
»Æµ¤Ä¾½ª×Ó,LITELO,T14030114,272.1,46.9,2.1,3.45
ºìµ­±È,CLEJAP,T01050016,4.4,85,5.1,4.7
Ã«»¨Á¬Èï²è,CAMFRA,T18060099,355.8,105.1,2,1.5
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T01200430,16,392.7,3.7,4.36
»¢Æ¤éª,DAPOLD,T20080173,396.1,151.8,7.8,3.73
Ï¸Ö¦èÚ,EURLOQ,T1114B02456,201.8,267.5,2.7,2.3
Ã«»¨Á¬Èï²è,CAMFRA,T02030041,30,45.1,2.8,3.61
Ã«»¨Á¬Èï²è,CAMFRA,T17180244,339.5,342,1.7,2.78
Ï¸Ö¦èÚ,EURLOQ,T25100339,492.6,183.4,1.9,2.4
»Æµ¤Ä¾½ª×Ó,LITELO,T01050218,5,93,10.9,15.8
ºìéª,MACTHU,T11110245,217.3,212.3,16.5,10.5
Ã«»¨Á¬Èï²è,CAMFRA,T17110144,338.5,217.7,1.9,3.5
´óÒ¶ÔçÓ£,CERSUB,T25160019,484.9,305,11.3,7
ÔÆÉ½Çà¸Ô,CYCSES,T05190131,85.5,370.5,2.9,4.25
Ï¸Ö¦èÚ,EURLOQ,T24200052,475.3,386.5,5.1,4.7
±¡Ò¶É½·¯,SYMANO,T10090224,194.5,161,3.1,3.98
Ã×éÆ,CASCAR,T07050123,122.7,96.5,18.4,6.5
Ïã¹ð,CINSUB,T25160036,489,300.4,10.3,2.9
Ã«»¨Á¬Èï²è,CAMFRA,T15140076,286.5,276.8,1.4,2.76
Ä¾ºÉ,SCHSUP,T01200152,4.8,395.9,7.7,3.81
Ï¸Ö¦èÚ,EURLOQ,T07030148,125,60,2.1,3.46
Ï¸Ö¦èÚ,EURLOQ,T05070248,93,122.5,3.8,4.03
Ï¸Ö¦èÚ,EURLOQ,T01030224,19.5,42.2,1.6,2.8
¸Û¿Â,LITHAR,T07150003,139.9,283,5.9,4.4
¸ñÒ©èÚ,EURMUR,T11150183,203,293.2,2.9,2.46
¸Û¿Â,LITHAR,T21030196,417,58.8,15.3,19.2
Ä¾ºÉ,SCHSUP,T22020059,423.9,22.3,13.9,11.6
»Æµ¤Ä¾½ª×Ó,LITELO,T03060040,43.9,102.9,14.2,16.2
Ï¸Ö¦èÚ,EURLOQ,T21060188,412.2,107,3.2,3.95
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T07110083,126.6,213,3.9,3.92
Ã«ÂöéÊ,ACEPUB,T03030076,43.7,51,1.3,2.77
»Æµ¤Ä¾½ª×Ó,LITELO,T05030130,89.6,51,1.8,2.25
»Æµ¤Ä¾½ª×Ó,LITELO,T03010169,48.2,9.5,10.9,9.8
