spCN,sp,tag,gx,gy,dbh,height
Ïã¹ð,CINSUB,T19180152,375,347.5,5.4,6
Ï¸Ö¦èÚ,EURLOQ,T01100150,3.9,192.6,2.7,3.13
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T09110210,179.9,208.8,2.5,3.91
±¡Ò¶É½·¯,SYMANO,T07020249,131.8,28.4,6.1,5.2
Ã«»¨Á¬Èï²è,CAMFRA,T13060138,248.9,107.1,1.9,3.06
Ïã¹ð,CINSUB,T07070185,135,127.5,15.9,16.9
Ï¸Ö¦èÚ,EURLOQ,T25070057,484.8,133.5,2.5,3.85
Ï¸Ö¦èÚ,EURLOQ,T11070215,215.1,126.2,2.6,3.02
Ä¾ºÉ,SCHSUP,T23030294,457,43.5,44,21.6
ºìéª,MACTHU,T08140108,151,261.5,14.1,16.1
»ÆÌ´,DALHUP,T17190136,331.6,377.6,26.1,11.6
ºìéª,MACTHU,T08010077,149.6,8.8,3.7,3.32
Î÷´¨ÆÓ,CELVAN,T04050074,73.2,82.7,3.9,4
Ã«»¨Á¬Èï²è,CAMFRA,T07050342,133.8,86.8,3.7,3.75
»Æµ¤Ä¾½ª×Ó,LITELO,T16040010,300.6,64.5,1.8,2.95
Ã«»¨Á¬Èï²è,CAMFRA,T04040026,70.5,65.8,1.8,2.59
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T01170190,9.5,334.4,6.8,5.3
Ï¸Ö¦èÚ,EURLOQ,T1206B0048,237.3,100.8,2.3,3.9
ºìµ­±È,CLEJAP,T20190148,386.7,361.7,16.5,8.5
Ã«»¨Á¬Èï²è,CAMFRA,T07180078,122.5,349.6,1.3,1.94
Ã«»¨Á¬Èï²è,CAMFRA,T17190078,327.5,366.2,2.6,3.82
Ï¸Ö¦èÚ,EURLOQ,T14150060,269.7,296,2.1,2.05
Ð¡Ò¶Çà¸Ô,CYCMYR,T05190121,89.7,366.8,5.5,4.5
ÔÆÉ½Çà¸Ô,CYCSES,T20150064,380.3,290.5,20.8,6.4
ÑîÃ·Ò¶ÎÃÄ¸Ê÷,DISMYR,T11160295,211,309.1,2.1,1.75
ºìµ­±È,CLEJAP,T11080067,206.7,157.5,19,8.1
Õã½­ÐÂÄ¾½ª×Ó,NEOAUR,T09060044,161,116.5,2,3.04
Ï¸Ö¦èÚ,EURLOQ,T1802B2490,359.8,32.8,4,3.71
Ï¸Ö¦èÚ,EURLOQ,T02020185,39.7,32.5,5.8,5.5
ºìµ­±È,CLEJAP,T03010148,46,12.3,2.1,3.1
